Industry,Impacted Industry,Ratio
All Severely Threatened Industries,Temporary Help Services,10.7431425
All Severely Threatened Industries,Limited-Service Restaurants,4.271760174
All Severely Threatened Industries,Full-Service Restaurants,4.153581904
All Severely Threatened Industries,Janitorial Services,3.990185586
All Severely Threatened Industries,"Corporate, Subsidiary, and Regional Managing Offices",3.958108531
All Severely Threatened Industries,Landscaping Services,2.544624992
All Severely Threatened Industries,General Medical and Surgical Hospitals,2.491982382
All Severely Threatened Industries,Security Guards and Patrol Services,2.444452226
All Severely Threatened Industries,Professional Employer Organizations,1.855627756
Air Transportation,Limited-Service Restaurants,4.907032747
Air Transportation,Freight Transportation Arrangement,4.65033823
Air Transportation,General Medical and Surgical Hospitals,4.392870751
Air Transportation,Full-Service Restaurants,3.975591133
Air Transportation,Air Traffic Control,1.893574015
Air Transportation,Supermarkets and Other Grocery (except Convenience) Stores,1.818851327
Air Transportation,Offices of Physicians (except Mental Health Specialists),1.793236585
Air Transportation,"Corporate, Subsidiary, and Regional Managing Offices",1.743369493
Air Transportation,Temporary Help Services,1.544310437
Air Transportation,Couriers and Express Delivery Services,1.398135493
Air Transportation,Nursing Care Facilities (Skilled Nursing Facilities),1.383514116
Air Transportation,Offices of Lawyers,1.365422791
Air Transportation,Other Airport Operations,1.349808576
Air Transportation,Religious Organizations,1.31662454
Air Transportation,Wired Telecommunications Carriers,1.298688242
"Arts, Entertainment, and Recreation",Temporary Help Services,5.526305149
"Arts, Entertainment, and Recreation",Limited-Service Restaurants,3.742247585
"Arts, Entertainment, and Recreation","Corporate, Subsidiary, and Regional Managing Offices",3.701403273
"Arts, Entertainment, and Recreation",Full-Service Restaurants,3.536923234
"Arts, Entertainment, and Recreation",General Medical and Surgical Hospitals,2.833714699
"Arts, Entertainment, and Recreation","Promoters of Performing Arts, Sports, and Similar Events with Facilities",1.895299382
"Arts, Entertainment, and Recreation",Offices of Lawyers,1.831053248
"Arts, Entertainment, and Recreation","Promoters of Performing Arts, Sports, and Similar Events without Facilities",1.641600561
"Arts, Entertainment, and Recreation",Janitorial Services,1.604387264
"Cafeterias, Grill Buffets, and Buffets","Corporate, Subsidiary, and Regional Managing Offices",10.38331934
"Cafeterias, Grill Buffets, and Buffets",Temporary Help Services,6.554880598
Clothing and Clothing Accessories Stores,General Warehousing and Storage,5.399243571
Clothing and Clothing Accessories Stores,Limited-Service Restaurants,4.350787591
Clothing and Clothing Accessories Stores,"Corporate, Subsidiary, and Regional Managing Offices",4.06692718
Clothing and Clothing Accessories Stores,Temporary Help Services,4.038715211
Clothing and Clothing Accessories Stores,Full-Service Restaurants,3.722277787
Clothing and Clothing Accessories Stores,General Medical and Surgical Hospitals,3.126938508
Drinking Places (Alcoholic Beverages),"Corporate, Subsidiary, and Regional Managing Offices",9.611783951
Drinking Places (Alcoholic Beverages),Temporary Help Services,6.188095196
Drinking Places (Alcoholic Beverages),Limited-Service Restaurants,4.104239728
Employment Services,Temporary Help Services,7.447721941
Employment Services,"Corporate, Subsidiary, and Regional Managing Offices",6.125144572
Employment Services,Full-Service Restaurants,6.11539402
Employment Services,Limited-Service Restaurants,5.769551088
Employment Services,General Medical and Surgical Hospitals,4.271860491
Food and Beverage,General Warehousing and Storage,10.11935028
Food and Beverage,Limited-Service Restaurants,4.544000663
Full-Service Restaurants,"Corporate, Subsidiary, and Regional Managing Offices",11.15492465
Full-Service Restaurants,Full-Service Restaurants,4.719482911
Full-Service Restaurants,Limited-Service Restaurants,4.714424467
